,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23
λ4428,0.20866391478019675,-0.2159090685949113,0.22469700145240187,0.18557125926909449,-0.04225732110551193,-0.17196677344922628,0.24025598422149277,-0.012982257539214096,0.1553536425945259,-0.5963442770848689,-0.004850131149072358,-0.4459810322898602,-0.14093282354536893,0.11249889054460188,-0.21949860485097486,-0.03173675368961183,0.05201526192891704,-0.07393450268326365,-0.07971792665361925,0.20579698703051982,-0.04986160057802107,-0.12434013267944001,-0.02127935246908224
λ4964,0.24159554359670227,0.1724896843518538,-0.0736575633612542,0.11915484749998463,-0.05425970036698755,0.06785122740604557,0.08859082573887098,-0.018517297475103788,-0.13689289835534865,-0.1522893845604689,0.40346568703528546,0.12899270479486252,-0.16758698750585796,0.19853739851034108,0.42420724290721823,0.13596914642049504,0.5065547623039864,-0.26043284507107356,-0.06859868253542907,-0.23315914943857183,-0.04149492023589031,-0.04986520170340387,0.038972278451646636
λ5494,0.23163211392649785,-0.06985184161163469,-0.20149873619775532,-0.029988915972845774,0.1997428326037703,0.09453656553519069,0.12296513395047497,-0.20692147401734945,0.6038170556195448,0.12204885746811651,0.06701149036233883,-0.06497390256269746,0.37448429928456145,-0.19479555800626785,-0.1296410817039293,0.08473079811276553,0.16594878886009481,0.020383247379165897,0.028148250808164712,-0.3084788748880067,-0.0884086709367542,-0.2545418026496351,-0.07942455629498069
λ5513,0.18399054480290894,0.2252867376536494,-0.33101434495365634,0.1909034442560286,-0.12148090143578728,0.22512194540289823,-0.19079992317823033,-0.20504938031617997,-0.2361288867916694,-0.3842014767755126,-0.30581367758459166,-0.08500016473680515,0.3056168476272646,-0.2856572737708682,0.15636904339918223,0.1712304948023212,0.009286146292758268,0.10006591399885646,0.1086158780484787,0.16990508972219123,0.20433667714088574,0.0023650690239439363,-0.008954917853652721
λ5545,0.24398901278879956,0.06677653512148077,-0.16775433149338545,-0.12418348308268012,0.07663507891819273,-0.08502797148730037,-0.0491836424653159,0.20051727571235917,0.028774461508561056,0.02514271227677693,0.3688239648012186,0.007551636451736479,-0.10975535192996509,-0.5294177968950138,0.1638737440406004,-0.3910030520773213,-0.09203256271690434,0.009779161175710361,-0.15217923883143802,0.40226880756557915,-0.14625585741966388,-0.1089943136542472,-0.016962499185819154
λ5546,0.2026282751792416,0.24498500625146158,-0.18729730357382002,0.09479602885876548,-0.024034486421410435,-0.6040827194391486,-0.3034341391077072,0.39000749586085287,-0.03456705726959869,-0.0868610348553477,-0.06348999902703813,0.0485585787236115,0.2257270398095041,0.16865331131312086,-0.21308383611724768,-0.17194014840864996,0.04729560693488925,-0.006465605363435915,0.10167912156413877,-0.2509473330404022,-0.002800476847965185,-0.0013956735131996246,-0.009527056685049376
λ5769,0.16139526655618947,0.30857142670887805,0.013033045552472566,0.41416425280044733,0.06378696844346701,0.4934378734267678,0.15146498435076639,0.4879789504760962,0.24275937005511156,0.07366148719643394,-0.09360281259696701,0.10420127579948027,-0.08693627354507265,0.21656726263868475,-0.08156571155121622,-0.06634351528382262,-0.10875506071715883,0.13708879596528747,0.04493482842759655,0.12062563005966936,-0.038711850801334616,0.006599846812605079,0.013944713003568612
λ5780,0.21485359826670486,-0.3110722489077233,0.007904581474551283,0.08129402318727535,-0.09858182365904873,-0.01661136663920802,0.12968165850678764,0.12373905395326797,-0.096039534959562,0.3014664204421337,-0.3194760771313498,0.08957155909788615,0.204938577616301,-0.09713617904967921,-0.13846290522326962,-0.024909331482091623,0.48733979301751684,-0.2643531298812532,-0.09261351628178821,0.2967742292354031,-0.09854141010737368,0.31969039738917887,0.10444729786009718
λ5797,0.2504117124732806,0.03666139128117511,-0.09742440233172155,-0.04772991073943381,0.2073874516309528,-0.023494909571992722,0.12898246305572686,0.10128799981698411,-0.00024099457370947922,0.14017955626475487,0.13701932519714272,-0.3187419381070836,0.0038965286450839804,-0.03929288356500277,0.03640048886817069,0.23733472121199142,-0.4058397317707935,-0.4530942653017694,0.0241917675451542,-0.09484030204090181,0.34621461889965727,0.3834500540255346,0.08950565264246764
5850,0.24839470092151988,0.10877794510067067,-0.09082678704290126,-0.018700411766650372,0.11654302103543183,0.005690172574721795,0.10694025920503053,-0.2601953337817198,-0.22778756294585162,0.09988224208255088,0.32461472310400163,-0.113793803542077,-0.10525401609584414,0.06429932599085073,-0.37717444168005543,0.030070283469181863,0.13971288143457367,0.5413284740725521,0.15072892559817733,0.019273426303753775,-0.06658772454854403,0.37639494125094997,0.06925894996441827
λ6196,0.2429484177987903,-0.18533152417302953,-0.06869981209390433,-0.1285330337058711,-0.02333575791309821,-0.053312286951959185,0.03001191442874717,0.07660058222935301,-0.1402576468592018,0.13198454034180007,0.039165957358151676,0.14835899083432316,-0.12474635829099763,0.10220765317926975,-0.07054870490707173,0.3245342997714481,-0.08103776607584483,-0.09617720081972973,0.6293086926689022,0.26825664369118674,-0.046309335991824935,-0.41396046041380813,-0.14481898630637255
λ6270,0.2142771313787351,-0.291895203232347,-0.026559156765778528,-0.11574188170883727,-0.037136066025478434,0.2552664154797677,-0.2903010878335733,-0.022556723887635976,0.11239590387163365,-0.3548550744763658,-0.0621044901910786,0.37928450104482186,-0.2893141009082821,-0.14625702813230015,-0.18522582470260257,-0.141273034574569,-0.11801793508904476,-0.15547286998044793,0.1537480486073271,-0.2964001942605452,-0.14245893976560023,0.2935159369889515,0.04231460421288902
λ6284,0.18597408362799253,-0.38195428928717934,0.08690630263743872,-0.004931969511973537,-0.046190940726542194,0.01126451399419026,0.2822979933557959,0.37237881941821416,-0.311073756873113,-0.02128991453278708,-0.0828652881122204,-0.06837012551606084,0.12332056446125982,-0.1894996409270806,0.2639534532993818,0.10688700657926502,-0.14222921047418305,0.3832142275877237,-0.09053537888782627,-0.40201741092065224,-0.09505969964323753,-0.06513435163721745,-0.013323461604297862
λ6376,0.2474264610921745,-0.06768699912406052,-0.04725296902846309,-0.05356468337611981,0.14583750981270788,-0.26096527506459927,-0.22712502521725356,-0.0904119286987834,0.36021247538394396,0.05910379011799089,-0.27443752599091575,0.020173833403798642,-0.2339465046586954,0.20729568826003308,0.45359375879703573,0.26005671062805963,-0.057660551097435425,0.2893670362544346,-0.1260219112649468,0.1946952242384114,-0.13712083141984815,0.19147895926143824,0.06003730308627211
λ6379,0.2402270693048948,-0.0009192241968425501,-0.013048327344071398,-0.2047853227850653,0.1356981461221299,0.3164018050953211,-0.357911833144607,-0.07426692679074336,-0.26803306878736777,0.18065421403688436,-0.15604812231615978,-0.44681006138502216,0.006607835450757242,0.2876784711577957,-0.011287676844168083,-0.23423379241055783,-0.022001576878096347,-0.12766819710508082,-0.14206913753970854,-0.08750060738418527,-0.3014396974386298,-0.21174603952684973,-0.038123492756027805
λ6614,0.24097140690334556,-0.1729751903502305,-0.051141524400202816,-0.21305051725336727,-0.022632140002406768,0.07878031649404318,-0.06582676387021905,0.03230614900162646,0.014609289129694749,0.040828718935412664,-0.026837798279926762,0.15702964185845464,-0.12649784129345512,0.1619306058029855,-0.12748590520221348,-0.13265312851243902,0.12207772836031536,0.1682622821468879,-0.29861240010251927,0.032224319019659144,0.7495865896286024,-0.23010415354877586,-0.018120228295268638
E(B-V),0.2366432143892095,0.03801969054205502,-0.012059351768208517,-0.16763858372377988,-0.2867791637442999,-0.025575301908543784,0.3606841671626104,-0.27005887292054914,0.013030190095150983,-0.06267231745530523,0.02300426314367921,0.2533819581156652,0.36764150680154806,0.36558727598523383,0.1691575828156868,-0.35449691423064855,-0.33092637699212796,-0.036520309674767465,0.025936957492295548,0.09328416772499754,-0.08538644508300904,0.07575247876389976,0.05665046040600684
N(HI),0.18720905116019085,-0.026604689137020597,0.21807365357268654,0.5177844073380008,-0.0805297727814031,-0.14307665443045403,-0.06467975133373549,-0.319738773055954,-0.044988505990705384,0.28236313171089106,-0.0795758332591127,0.0020389455349905015,-0.19147911583310628,-0.17800479929643886,0.049381712116431116,-0.20882022003415512,-0.1212940940383715,-0.02690753309515324,0.12493310009825387,-0.15851250415743653,0.10029075324326502,-0.22484647084691156,0.4426591409005248
N(H2),0.1691664501376677,0.15421118400887213,0.46927717440823136,-0.1529315662651271,-0.013360212156020894,0.055021651209023865,-0.22978637043011357,0.06069427308799083,-0.033901161642992284,-0.0826511168579465,0.18975604389889014,0.20404584502307443,0.29655536763315316,-0.051879531689091624,-0.19073749566856937,0.4123212492756141,-0.09947850251624912,-0.0032888739135927365,-0.270904723867994,0.11551947114587484,-0.11104537195009546,-0.1168723392024537,0.37285544589410735
N(H),0.21686503312016744,0.05495169548797185,0.2978369668732752,0.28373517097686496,-0.09053983590137561,-0.06509942108134849,-0.10934168728547342,-0.1783298531863233,-0.07059419275827235,0.14401446705350662,0.049687453770520744,0.1353398658239488,0.00891930480012036,-0.08043583425777832,-0.05206433738721464,0.07882565817293456,-0.12581099199915252,-0.050066429468622095,-0.2077920200070834,-0.02601654668443153,-0.006146630648185483,0.0825872746178294,-0.7703985087968037
f(H2),0.09264598195568252,0.18668397247886845,0.5663082365359611,-0.2713630000762886,-0.017857701258706168,0.05949376730512565,-0.0765504227436553,0.08869124823380793,0.15022688585584557,-0.012336579627976326,-0.05859014043974944,-0.1873155291601594,0.10292576662128967,-0.126797252378878,0.24363711642094116,-0.22213847513536158,0.2413285288390137,0.08242461538733566,0.45221229264765544,-0.03794563688454315,0.21073176584346087,0.16121361809996762,-0.0815816935916276
F*,0.086532045501061,0.25465224234941236,-0.10861071376532452,-0.23467014873444678,-0.7590648562358885,0.002857993123611375,0.07713587516905065,0.04850380383815961,0.16073942500073274,0.15944723614124004,-0.10346297170584172,-0.20609123275132457,-0.27907438232983833,-0.14172484690062256,-0.1274060960665382,0.1663236050726076,-0.005193030310035619,0.00615659792466315,-0.09083675598127483,-0.12192826234403852,-0.07885897921376785,-0.016476402766486136,0.01821879994168737
W(λ5797)/W(λ5780),0.1187120633497493,0.41202700535649694,0.07477521308514866,-0.24474991163101745,0.38201066419639407,-0.123419092478859,0.40106043539741126,-0.10135745989684597,-0.16460841806693172,-0.0785349026677483,-0.43820300537339874,0.2005213093835292,-0.24736236463102168,-0.1651514683510172,-0.1100929804812491,-0.0016531737759457584,0.0340537968467094,-0.09544048712385735,-0.10127820639288108,-0.10139644386240683,-0.07712475391254635,-0.1232080761151907,-0.018545038818659102
